"ticket_id","opened_at","address_id","uprava","district","street","house_number","title","description","reason_category","month","hour","season"
"242","2025-01-01 13:19:00","29","Северная управа","Северный","Мира","3А","Прорыв стояка","В подвале скапливается вода, требуется срочный осмотр.","water_leak","1","13","winter"
"255","2025-01-01 22:45:00","24","Центральная управа","Исторический","Набережная","23А","Канализация не работает","Канализация переполнена, стоки выходят наружу.","sewer","1","22","winter"
"283","2025-01-02 01:02:00","35","Северная управа","Северный","Парковая","31","Перебои с электричеством","Освещение в подъезде не работает со вчерашнего вечера.","electricity","1","1","winter"
"214","2025-01-04 21:33:00","37","Северная управа","Северный","Парковая","23А","Переполнены контейнеры","Рядом с домом образовалась свалка бытового мусора.","garbage","1","21","winter"
"338","2025-01-05 15:29:00","68","Южная управа","Пригородный","Полевая","11","Проблема с подачей тепла","Батареи остаются холодными с утра, температура в квартире низкая.","heating","1","15","winter"
"367","2025-01-05 16:46:00","50","Северная управа","Промышленный","Энергетиков","29Б","Лифт не реагирует на вызов","Кнопки лифта не реагируют, нужна диагностика.","elevator","1","16","winter"
"222","2025-01-05 22:24:00","36","Северная управа","Северный","Парковая","19","Не вывозят мусор","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","1","22","winter"
"226","2025-01-09 18:14:00","67","Южная управа","Пригородный","Полевая","9Б","Нет отопления","Батареи остаются холодными с утра, температура в квартире низкая.","heating","1","18","winter"
"200","2025-01-10 09:11:00","53","Южная управа","Южный","Садовая","13","Течь с потолка после дождя","Жители сообщают о повреждении покрытия кровли.","roof","1","9","winter"
"411","2025-01-10 23:12:00","61","Южная управа","Южный","Строителей","43","Не вывозят мусор","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","1","23","winter"
"245","2025-01-13 11:24:00","63","Южная управа","Южный","Строителей","33","Проблема с мусорной площадкой","Рядом с домом образовалась свалка бытового мусора.","garbage","1","11","winter"
"206","2025-01-15 06:19:00","70","Южная управа","Пригородный","Полевая","37","Протечка трубы","В подвале скапливается вода, требуется срочный осмотр.","water_leak","1","6","winter"
"50","2025-01-15 11:29:00","20","Центральная управа","Исторический","Пушкина","13А","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","1","11","winter"
"358","2025-01-18 02:41:00","56","Южная управа","Южный","Школьная","7","Повреждение кровли","Жители сообщают о повреждении покрытия кровли.","roof","1","2","winter"
"108","2025-01-20 02:08:00","54","Южная управа","Южный","Садовая","31","Течь в подвале","В подвале скапливается вода, требуется срочный осмотр.","water_leak","1","2","winter"
"191","2025-01-20 08:53:00","72","Южная управа","Пригородный","Солнечная","23","Отключение электроэнергии","Освещение в подъезде не работает со вчерашнего вечера.","electricity","1","8","winter"
"42","2025-01-20 13:54:00","67","Южная управа","Пригородный","Полевая","9Б","Лифт не реагирует на вызов","Лифт не поднимается на этажи, жители не могут воспользоваться.","elevator","1","13","winter"
"104","2025-01-23 10:32:00","72","Южная управа","Пригородный","Солнечная","23","Течь в подвале","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","1","10","winter"
"183","2025-01-24 12:32:00","19","Центральная управа","Исторический","Пушкина","33","Не горит освещение на этаже","На площадке мигает свет и отключается электричество.","electricity","1","12","winter"
"239","2025-01-27 21:10:00","72","Южная управа","Пригородный","Солнечная","23","Холодные батареи","Батареи остаются холодными с утра, температура в квартире низкая.","heating","1","21","winter"
"51","2025-01-29 01:10:00","65","Южная управа","Южный","Строителей","3","Не вывозят мусор","Мусор не вывозился несколько дней, требуется уборка.","garbage","1","1","winter"
"235","2025-02-01 04:46:00","69","Южная управа","Пригородный","Полевая","29","Поломка лифта в подъезде","Лифт периодически застревает между этажами.","elevator","2","4","winter"
"79","2025-02-01 20:51:00","32","Северная управа","Северный","Молодежная","3","Прорыв стояка","В подвале скапливается вода, требуется срочный осмотр.","water_leak","2","20","winter"
"414","2025-02-03 13:21:00","29","Северная управа","Северный","Мира","3А","Слабое отопление в квартире","В нескольких квартирах подъезда батареи еле теплые.","heating","2","13","winter"
"368","2025-02-04 00:37:00","49","Северная управа","Промышленный","Энергетиков","37","Поломка лифта в подъезде","Кнопки лифта не реагируют, нужна диагностика.","elevator","2","0","winter"
"120","2025-02-05 03:59:00","27","Северная управа","Северный","Мира","5А","Холодные батареи","В нескольких квартирах подъезда батареи еле теплые.","heating","2","3","winter"
"362","2025-02-07 05:10:00","1","Центральная управа","Центральный","Ленина","9","Течь с потолка после дождя","На верхнем этаже появилась протечка с крыши.","roof","2","5","winter"
"197","2025-02-07 12:15:00","7","Центральная управа","Центральный","Советская","27","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","2","12","winter"
"72","2025-02-07 14:11:00","28","Северная управа","Северный","Мира","5","Проблема с подачей тепла","В нескольких квартирах подъезда батареи еле теплые.","heating","2","14","winter"
"311","2025-02-08 08:54:00","30","Северная управа","Северный","Молодежная","27","Протекает труба в подъезде","Из стояка течет вода, жители жалуются на сырость.","water_leak","2","8","winter"
"346","2025-02-08 21:15:00","48","Северная управа","Промышленный","Энергетиков","39А","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","2","21","winter"
"298","2025-02-09 13:44:00","55","Южная управа","Южный","Садовая","7Б","Слабое отопление в квартире","Батареи остаются холодными с утра, температура в квартире низкая.","heating","2","13","winter"
"354","2025-02-12 02:25:00","36","Северная управа","Северный","Парковая","19","Скопление мусора у дома","Мусор не вывозился несколько дней, требуется уборка.","garbage","2","2","winter"
"319","2025-02-12 12:23:00","45","Северная управа","Промышленный","Энергетиков","9","Прорыв стояка","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","2","12","winter"
"117","2025-02-12 17:19:00","55","Южная управа","Южный","Садовая","7Б","Гололед во дворе","Территория у подъезда не очищена, жители жалуются.","yard","2","17","winter"
"364","2025-02-13 04:56:00","41","Северная управа","Промышленный","Заводская","45Б","Нет отопления","Отопление подается с перебоями, нужно проверить систему.","heating","2","4","winter"
"246","2025-02-13 12:49:00","35","Северная управа","Северный","Парковая","31","Переполнены контейнеры","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","2","12","winter"
"57","2025-02-14 02:54:00","33","Северная управа","Северный","Молодежная","5А","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","2","2","winter"
"97","2025-02-14 12:44:00","59","Южная управа","Южный","Школьная","5Б","Поломка лифта в подъезде","Кнопки лифта не реагируют, нужна диагностика.","elevator","2","12","winter"
"289","2025-02-15 00:34:00","48","Северная управа","Промышленный","Энергетиков","39А","Течь в подвале","В подвале скапливается вода, требуется срочный осмотр.","water_leak","2","0","winter"
"244","2025-02-17 05:07:00","21","Центральная управа","Исторический","Пушкина","15А","Лифт не реагирует на вызов","Кнопки лифта не реагируют, нужна диагностика.","elevator","2","5","winter"
"267","2025-02-18 22:00:00","48","Северная управа","Промышленный","Энергетиков","39А","Протекает труба в подъезде","В подвале скапливается вода, требуется срочный осмотр.","water_leak","2","22","winter"
"309","2025-02-22 23:41:00","43","Северная управа","Промышленный","Заводская","9","Прорыв стояка","Из стояка течет вода, жители жалуются на сырость.","water_leak","2","23","winter"
"169","2025-02-23 20:37:00","27","Северная управа","Северный","Мира","5А","Переполнены контейнеры","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","2","20","winter"
"232","2025-02-26 04:33:00","65","Южная управа","Южный","Строителей","3","Проблема с мусорной площадкой","Мусор не вывозился несколько дней, требуется уборка.","garbage","2","4","winter"
"154","2025-03-02 02:15:00","18","Центральная управа","Исторический","Пушкина","5А","Нет отопления","Батареи остаются холодными с утра, температура в квартире низкая.","heating","3","2","spring"
"68","2025-03-02 16:35:00","64","Южная управа","Южный","Строителей","17","Слабое отопление в квартире","Батареи остаются холодными с утра, температура в квартире низкая.","heating","3","16","spring"
"340","2025-03-05 02:21:00","19","Центральная управа","Исторический","Пушкина","33","Нет отопления","Батареи остаются холодными с утра, температура в квартире низкая.","heating","3","2","spring"
"418","2025-03-09 17:27:00","63","Южная управа","Южный","Строителей","33","Не горит освещение на этаже","Жители сообщают об отключении света в доме.","electricity","3","17","spring"
"409","2025-03-10 08:52:00","12","Центральная управа","Центральный","Гагарина","37","Проблема с подачей тепла","Батареи остаются холодными с утра, температура в квартире низкая.","heating","3","8","spring"
"14","2025-03-11 04:38:00","28","Северная управа","Северный","Мира","5","Переполнены контейнеры","Рядом с домом образовалась свалка бытового мусора.","garbage","3","4","spring"
"87","2025-03-11 21:55:00","44","Северная управа","Промышленный","Заводская","23","Проблема с подачей тепла","Отопление подается с перебоями, нужно проверить систему.","heating","3","21","spring"
"416","2025-03-13 07:06:00","6","Центральная управа","Центральный","Ленина","17","Гололед во дворе","Во дворе не убран снег и лед, проход опасен.","yard","3","7","spring"
"157","2025-03-17 19:44:00","61","Южная управа","Южный","Строителей","43","Прорыв стояка","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","3","19","spring"
"329","2025-03-17 22:09:00","41","Северная управа","Промышленный","Заводская","45Б","Не убран двор","После снегопада двор не обработан против гололеда.","yard","3","22","spring"
"192","2025-03-20 14:43:00","42","Северная управа","Промышленный","Заводская","17А","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","3","14","spring"
"363","2025-03-23 14:33:00","25","Центральная управа","Исторический","Набережная","33","Протекает крыша","Жители сообщают о повреждении покрытия кровли.","roof","3","14","spring"
"94","2025-03-23 16:13:00","72","Южная управа","Пригородный","Солнечная","23","Протекает труба в подъезде","Из стояка течет вода, жители жалуются на сырость.","water_leak","3","16","spring"
"371","2025-03-25 20:03:00","56","Южная управа","Южный","Школьная","7","Нет отопления","В нескольких квартирах подъезда батареи еле теплые.","heating","3","20","spring"
"109","2025-03-27 03:45:00","75","Южная управа","Пригородный","Солнечная","41","Нет отопления","В нескольких квартирах подъезда батареи еле теплые.","heating","3","3","spring"
"251","2025-03-27 09:42:00","36","Северная управа","Северный","Парковая","19","Поломка лифта в подъезде","Лифт не поднимается на этажи, жители не могут воспользоваться.","elevator","3","9","spring"
"369","2025-03-31 09:07:00","68","Южная управа","Пригородный","Полевая","11","Гололед во дворе","После снегопада двор не обработан против гололеда.","yard","3","9","spring"
"400","2025-03-31 18:14:00","29","Северная управа","Северный","Мира","3А","Проблема с мусорной площадкой","Мусор не вывозился несколько дней, требуется уборка.","garbage","3","18","spring"
"385","2025-04-01 09:33:00","46","Северная управа","Промышленный","Энергетиков","13","Повреждение кровли","После осадков с потолка течет вода, требуется проверка кровли.","roof","4","9","spring"
"331","2025-04-01 19:07:00","4","Центральная управа","Центральный","Ленина","39","Залив квартиры с крыши","Жители сообщают о повреждении покрытия кровли.","roof","4","19","spring"
"238","2025-04-02 11:59:00","64","Южная управа","Южный","Строителей","17","Протекает труба в подъезде","Из стояка течет вода, жители жалуются на сырость.","water_leak","4","11","spring"
"262","2025-04-02 23:27:00","48","Северная управа","Промышленный","Энергетиков","39А","Прорыв стояка","В подвале скапливается вода, требуется срочный осмотр.","water_leak","4","23","spring"
"275","2025-04-03 20:32:00","47","Северная управа","Промышленный","Энергетиков","27Б","Не убран двор","Территория у подъезда не очищена, жители жалуются.","yard","4","20","spring"
"66","2025-04-07 06:40:00","53","Южная управа","Южный","Садовая","13","Протечка трубы","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","4","6","spring"
"7","2025-04-07 07:10:00","5","Центральная управа","Центральный","Ленина","15","Течь в подвале","В подвале скапливается вода, требуется срочный осмотр.","water_leak","4","7","spring"
"205","2025-04-07 07:38:00","53","Южная управа","Южный","Садовая","13","Прорыв стояка","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","4","7","spring"
"402","2025-04-09 09:36:00","49","Северная управа","Промышленный","Энергетиков","37","Не горит освещение на этаже","На площадке мигает свет и отключается электричество.","electricity","4","9","spring"
"376","2025-04-09 19:06:00","70","Южная управа","Пригородный","Полевая","37","Протекает крыша","На верхнем этаже появилась протечка с крыши.","roof","4","19","spring"
"391","2025-04-13 07:18:00","29","Северная управа","Северный","Мира","3А","Затопление канализацией","Жильцы жалуются на затопление и запах в подъезде.","sewer","4","7","spring"
"349","2025-04-13 09:10:00","21","Центральная управа","Исторический","Пушкина","15А","Холодные батареи","Отопление подается с перебоями, нужно проверить систему.","heating","4","9","spring"
"320","2025-04-16 15:21:00","73","Южная управа","Пригородный","Солнечная","49","Переполнены контейнеры","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","4","15","spring"
"103","2025-04-17 07:19:00","12","Центральная управа","Центральный","Гагарина","37","Слабое отопление в квартире","В нескольких квартирах подъезда батареи еле теплые.","heating","4","7","spring"
"32","2025-04-18 09:49:00","25","Центральная управа","Исторический","Набережная","33","Нужна уборка территории","Во дворе не убран снег и лед, проход опасен.","yard","4","9","spring"
"155","2025-04-18 22:29:00","26","Северная управа","Северный","Мира","19","Нет отопления","В нескольких квартирах подъезда батареи еле теплые.","heating","4","22","spring"
"137","2025-04-19 16:51:00","53","Южная управа","Южный","Садовая","13","Переполнены контейнеры","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","4","16","spring"
"58","2025-04-20 10:25:00","63","Южная управа","Южный","Строителей","33","Переполнены контейнеры","Рядом с домом образовалась свалка бытового мусора.","garbage","4","10","spring"
"272","2025-04-20 13:42:00","75","Южная управа","Пригородный","Солнечная","41","Холодные батареи","В нескольких квартирах подъезда батареи еле теплые.","heating","4","13","spring"
"388","2025-04-21 05:10:00","53","Южная управа","Южный","Садовая","13","Скопление мусора у дома","Контейнерная площадка переполнена, мусор разлетается по двору.","garbage","4","5","spring"
"167","2025-04-22 16:07:00","12","Центральная управа","Центральный","Гагарина","37","Гололед во дворе","Во дворе не убран снег и лед, проход опасен.","yard","4","16","spring"
"248","2025-04-23 04:33:00","66","Южная управа","Пригородный","Полевая","49А","Холодные батареи","Отопление подается с перебоями, нужно проверить систему.","heating","4","4","spring"
"420","2025-04-26 00:22:00","6","Центральная управа","Центральный","Ленина","17","Перебои с электричеством","Жители сообщают об отключении света в доме.","electricity","4","0","spring"
"240","2025-04-30 21:42:00","33","Северная управа","Северный","Молодежная","5А","Нужна уборка территории","Территория у подъезда не очищена, жители жалуются.","yard","4","21","spring"
"345","2025-05-01 06:29:00","61","Южная управа","Южный","Строителей","43","Перебои с электричеством","Освещение в подъезде не работает со вчерашнего вечера.","electricity","5","6","spring"
"43","2025-05-02 01:09:00","10","Центральная управа","Центральный","Советская","7А","Нет отопления","Батареи остаются холодными с утра, температура в квартире низкая.","heating","5","1","spring"
"100","2025-05-05 06:35:00","51","Южная управа","Южный","Садовая","3","Лифт застревает","Лифт периодически застревает между этажами.","elevator","5","6","spring"
"403","2025-05-05 09:40:00","5","Центральная управа","Центральный","Ленина","15","Протекает крыша","На верхнем этаже появилась протечка с крыши.","roof","5","9","spring"
"417","2025-05-06 18:02:00","17","Центральная управа","Исторический","Пушкина","9","Переполнены контейнеры","Рядом с домом образовалась свалка бытового мусора.","garbage","5","18","spring"
"256","2025-05-07 23:59:00","66","Южная управа","Пригородный","Полевая","49А","Не убран двор","Территория у подъезда не очищена, жители жалуются.","yard","5","23","spring"
"148","2025-05-09 06:20:00","5","Центральная управа","Центральный","Ленина","15","Прорыв стояка","В подвале скапливается вода, требуется срочный осмотр.","water_leak","5","6","spring"
"36","2025-05-09 06:24:00","27","Северная управа","Северный","Мира","5А","Скользко у подъезда","Во дворе не убран снег и лед, проход опасен.","yard","5","6","spring"
"70","2025-05-11 09:23:00","47","Северная управа","Промышленный","Энергетиков","27Б","Холодные батареи","Батареи остаются холодными с утра, температура в квартире низкая.","heating","5","9","spring"
"45","2025-05-12 14:06:00","73","Южная управа","Пригородный","Солнечная","49","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","5","14","spring"
"220","2025-05-15 06:38:00","33","Северная управа","Северный","Молодежная","5А","Поломка лифта в подъезде","Лифт периодически застревает между этажами.","elevator","5","6","spring"
"218","2025-05-17 15:04:00","40","Северная управа","Промышленный","Заводская","37","Протекает труба в подъезде","На лестничной площадке появилась течь, вода стекает вниз.","water_leak","5","15","spring"
"19","2025-05-20 11:42:00","36","Северная управа","Северный","Парковая","19","Не убран двор","Во дворе не убран снег и лед, проход опасен.","yard","5","11","spring"
"196","2025-05-22 20:57:00","12","Центральная управа","Центральный","Гагарина","37","Протекает крыша","Жители сообщают о повреждении покрытия кровли.","roof","5","20","spring"
"110","2025-05-24 01:13:00","60","Южная управа","Южный","Строителей","13Б","Гололед во дворе","После снегопада двор не обработан против гололеда.","yard","5","1","spring"
"139","2025-05-26 01:16:00","29","Северная управа","Северный","Мира","3А","Течь в подвале","Из стояка течет вода, жители жалуются на сырость.","water_leak","5","1","spring"
"21","2025-05-27 01:06:00","39","Северная управа","Северный","Парковая","17Б","Лифт не реагирует на вызов","Лифт периодически застревает между этажами.","elevator","5","1","spring"
"405","2025-05-30 17:54:00","42","Северная управа","Промышленный","Заводская","17А","Отключение электроэнергии","На площадке мигает свет и отключается электричество.","electricity","5","17","spring"
